Game,alpha,gamma,omega,beta,Q_Deck_1,Q_Deck_2,Q_Deck_3,I_Deck_1,I_Deck_2,I_Deck_3,I_transformed_Deck_1,I_transformed_Deck_2,I_transformed_Deck_3,V_Deck_1,V_Deck_2,V_Deck_3,Softmax_Prob_Deck_1,Softmax_Prob_Deck_2,Softmax_Prob_Deck_3,Chosen_Deck,Chosen_Prob
1,0.07834084331989288,1.847071886062622,0.8162781000137329,2.0435855388641357,2.1935436129570007,13.412620641744017,2.036861926317215,1.0,4.0,1.0,1.0,12.94339138633563,1.0,1.3772655129432678,2.8472137131718522,1.220583826303482,0.045680161497087764,0.9211556154993502,0.03316422291144657,2,0.9211556154993502
2,0.07821659743785858,1.8534296751022339,0.823566734790802,2.0435855388641357,5.158349614736757,8.48364101582217,8.304051748541399,2.0,2.0,2.0,3.613582106599219,3.613582106599219,3.613582106599219,2.1823235983063705,5.507614999391784,5.328025732111012,0.0006604657457465206,0.5903451715201474,0.40899436267507155,3,0.40899436267507155
3,0.07824234664440155,1.847471833229065,0.8180280923843384,2.0435855388641357,13.15775873634396,0.0,4.475495561425969,4.0,0.0,2.0,12.95056976834498,0.0,3.598690007258889,2.5638288534544316,0.0,1.5316660397053994,0.8876070228762831,0.00470735196390117,0.107685625071055,1,0.8876070228762831
4,0.078093022108078,1.853388786315918,0.8271687030792236,2.0435855388641357,11.48965563567041,0.0,3.5332452116858044,2.0,0.0,4.0,3.613479692098169,0.0,13.057235485205878,8.500698325154454,0.0,-7.267291330411959,0.9999999713584192,2.8541570562993263e-08,1e-10,1,0.9999999713584192
5,0.0780830979347229,1.8483779430389404,0.8217323422431946,2.0435855388641357,0.0,16.424809641203996,6.915378321938832,0.0,4.0,2.0,0.0,12.966847652733842,3.600950937285017,0.0,5.769531548012347,3.956360473940788,7.394069854846208e-06,0.9759918798282132,0.024000726004332746,2,0.9759918798282132
6,0.07826033979654312,1.8555735349655151,0.8186154961585999,2.0435855388641357,13.714021569474857,0.0,4.36760864621753,4.0,0.0,2.0,13.096841943983632,0.0,3.618955919044004,2.992743803389935,0.0,1.4050752509732205,0.9604357545721373,0.002120091258787163,0.037444154073032185,1,0.9604357545721373
7,0.07805617898702621,1.856835961341858,0.8261060118675232,2.0435855388641357,7.069199073346058,0.0,6.25673398043572,2.0,0.0,4.0,3.6221240625253213,0.0,13.119782724324937,4.076940609563874,0.0,-4.581597402524783,0.9997592451573913,0.00024073407514164092,2.0667491025413162e-08,1,0.9997592451573913
8,0.07821457833051682,1.8583297729492188,0.8248850703239441,2.0435855388641357,6.457282844833942,7.70259857785879,4.575328629732068,2.0,2.0,2.0,3.6258764655088833,3.6258764655088833,3.6258764655088833,3.4663514815967127,4.711667214621562,1.5843972664948391,0.07265626626517502,0.9257913288301286,0.001552404812117219,2,0.9257913288301286
9,0.07810383290052414,1.8573297262191772,0.8246964812278748,2.0435855388641357,5.7638865760764855,9.882691332906477,6.4839228179441974,2.0,2.0,2.0,3.6233639529265322,3.6233639529265322,3.6233639529265322,2.7757110738900517,6.894515830720043,3.4957473157577637,0.00022078681112328895,0.9988175605188616,0.0009616525701332442,2,0.9988175605188616
10,0.0780467763543129,1.888547420501709,0.8310976624488831,2.0435855388641357,0.0,6.462279495199604,9.10215857090196,0.0,2.0,4.0,0.0,3.7026223796986573,13.709412486645347,0.0,3.385038690501129,-2.2917021002965168,0.0009891990695715422,0.9990016521805642,9.148649964237138e-06,2,0.9990016521805642
11,0.0781334638595581,1.862284779548645,0.824321448802948,2.0435855388641357,6.245765239005763,6.732874676800279,0.0,4.0,2.0,0.0,13.219260418060417,3.6358300865222533,0.0,-4.651154660913264,3.7357819522769073,0.0,3.599427889121263e-08,0.9995166641221098,0.00048329978365959573,2,0.9995166641221098
12,0.0781654566526413,1.8555837869644165,0.8244998455047607,2.0435855388641357,8.035435933967104,8.268268946649881,0.0,4.0,2.0,0.0,13.097028081399445,3.618981635957752,0.0,-2.7630616957182514,5.2844191469181485,0.0,7.206221723244164e-08,0.9999795116619551,2.0416175829785918e-05,2,0.9999795116619551
13,0.07709971070289612,1.936818242073059,0.862817645072937,2.0435855388641357,6.754521596782855,0.0,11.470439951507498,2.0,0.0,4.0,3.828603455809979,0.0,14.658204421840114,3.4511349791227803,0.0,-1.1769174687423014,0.9990577329103181,0.0008642640284959747,7.800296128022669e-05,1,0.9990577329103181
14,0.07807163149118423,1.8635116815567017,0.8264915347099304,2.0435855388641357,1.639504261314869,7.340165724307596,4.152584896333288,2.0,2.0,2.0,3.638923397605646,3.638923397605646,3.638923397605646,-1.3680351222640956,4.332626340728631,1.145045512754323,8.707904894053421e-06,0.9985111009169894,0.001480191078265493,2,0.9985111009169894
15,0.07519655674695969,1.9711387157440186,0.8605132699012756,2.0435855388641357,1.738550865009024,8.971170200304238,0.0,2.0,4.0,0.0,3.9207746273985387,15.372473678852147,0.0,-1.635327730159648,-4.257047391556116,0.0,0.034154856338374145,0.00016092713324656984,0.9656842164318108,1,0.034154856338374145
16,0.07816750556230545,1.8506650924682617,0.8200722932815552,2.0435855388641357,4.266132890350586,0.0,13.669698470805526,2.0,0.0,4.0,3.606664164560064,0.0,13.008026395921744,1.3084075378234097,0.0,3.002176433234979,0.030368077526096916,0.002094990988798424,0.967536931388351,3,0.967536931388351
17,0.07794079929590225,1.8558764457702637,0.8255294561386108,2.0435855388641357,20.05115784014225,0.0,6.975129765749124,4.0,0.0,2.0,13.102342771105278,0.0,3.619715841209815,9.23478793817005,0.0,3.9869477159788707,0.9999779927471638,6.367231403239293e-09,2.200078560699968e-05,1,0.9999779927471638
18,0.07797136157751083,1.8644546270370483,0.8253512382507324,2.0435855388641357,0.0,8.82368960611872,7.764757423247977,0.0,2.0,4.0,0.0,3.6413025753730093,13.259084445418111,0.0,5.818336016689026,-3.1786443418488872,6.856769049566686e-06,0.9999931327791552,1.0351795837702553e-08,2,0.9999931327791552
19,0.07992693036794662,1.7670550346374512,0.7766377925872803,2.0435855388641357,0.0,0.3197077214717865,7.800980466235714,0.0,2.0,4.0,0.0,3.403584752450527,11.584389167113715,0.0,-2.323644827555116,-1.1958939649834832,0.9128379593303566,0.007908921422039488,0.07925311915632012,3,0.07925311915632012
20,0.0789923369884491,1.8239952325820923,0.8006444573402405,2.0435855388641357,0.0,9.798321109673012,1.9227651863388457,0.0,4.0,2.0,0.0,12.535872140778062,3.540603358296162,0.0,-0.23845543776687883,-0.9119992681212179,0.5651727890954484,0.3471744604665576,0.08765275038147675,2,0.3471744604665576
21,0.07738293707370758,1.8619996309280396,0.8309667110443115,2.0435855388641357,0.0,8.765911318738137,19.361823001345567,0.0,2.0,4.0,0.0,3.635111535855407,13.214035878109055,0.0,5.745254641509134,8.381399068091755,3.625565888779627e-08,0.004553992045266759,0.9954459715995297,3,0.9954459715995297
22,0.07831753045320511,1.8580567836761475,0.8254916071891785,2.0435855388641357,4.3829422413023895,4.8283128817164656,5.791238057421534,2.0,2.0,2.0,3.625190435745019,3.625190435745019,3.625190435745019,1.3903779621323955,1.8357486025464715,2.79867377825154,0.04703026840833671,0.11685623321557422,0.8361134982924777,3,0.8361134982924777
23,0.078071728348732,1.8551244735717773,0.8275173306465149,2.0435855388641357,2.029864937067032,1.4346012804870423,5.251689167553702,2.0,2.0,2.0,3.6178296377128993,3.6178296377128993,3.6178296377128993,-0.9639517874669945,-1.559215444046984,2.257872443019676,0.0013797354210435431,0.00040877906858622536,0.998211485410549,3,0.998211485410549
24,0.07816042751073837,1.8624597787857056,0.8246535062789917,2.0435855388641357,7.690089940315031,4.989601849281154,0.0,2.0,4.0,0.0,3.6362711402892973,13.222467805700825,0.0,4.691426194694355,-5.914352588351116,0.0,0.9999314119492353,3.865017423746221e-10,6.858756426997187e-05,1,0.9999314119492353
25,0.07825178653001785,1.8681995868682861,0.8253556489944458,2.0435855388641357,7.183209048711881,5.442953364505166,0.0,4.0,2.0,0.0,13.328099524513036,3.6507669775696496,0.0,-3.8172131842051398,2.4297722164056763,0.0,2.8357546090968277e-06,0.9930706653532713,0.006926498792812495,2,0.9930706653532713
26,0.07824108749628067,1.8500615358352661,0.8200403451919556,2.0435855388641357,4.78704955994834,0.0,14.040269546857289,2.0,0.0,4.0,3.6051556192751453,0.0,12.997147039191155,1.8306765014472313,0.0,3.382084602328371,0.04025509878681504,0.0009551304500479586,0.958789770667258,3,0.958789770667258
27,0.07798570394515991,1.8616302013397217,0.8272165656089783,2.0435855388641357,10.030442197283701,0.0,3.2033321061716666,2.0,0.0,4.0,3.634180815367054,0.0,13.207270198781947,7.024187624393731,0.0,-7.721940588734544,0.9999994165792876,5.833206306863378e-07,1e-10,1,0.9999994165792876
28,0.07758233696222305,1.873592734336853,0.8329389095306396,2.0435855388641357,10.678961874010021,12.498570126214021,0.0,2.0,4.0,0.0,3.6644399794240483,13.428120362801318,0.0,7.626707233508075,1.3137661941761145,0.0,0.9999973341621422,2.4954594896660347e-06,1.702783684865894e-07,1,0.9999973341621422
29,0.077721506357193,1.8778647184371948,0.8333936929702759,2.0435855388641357,0.0,12.216916581117944,9.991837573333678,0.0,4.0,2.0,0.0,13.50788069236169,3.6753068841066443,0.0,0.9595340067087488,6.928859996388963,7.087777461572638e-07,5.036324466270096e-06,0.9999942547977881,3,0.9999942547977881
30,0.0783749669790268,1.8632749319076538,0.8224518299102783,2.0435855388641357,0.0,6.216407109252862,4.390702904701966,0.0,4.0,2.0,0.0,13.237418197693227,3.638326290712974,0.0,-4.670731710727551,1.3983547890944052,0.05428662111172868,3.884496239153872e-06,0.9457094942974611,3,0.9457094942974611
31,0.07782880961894989,1.908057451248169,0.8424431681632996,2.0435855388641357,0.0,10.967814868879762,7.242303823632671,0.0,4.0,2.0,0.0,14.085265984071027,3.7530342369969167,0.0,-0.8982212311637898,4.080585770791657,0.0002389387861232213,3.8115288530542784e-05,0.9997229458253739,3,0.9997229458253739
32,0.07809936255216599,1.8735343217849731,0.8249191641807556,2.0435855388641357,0.0,7.191968361119932,5.331571876116872,0.0,4.0,2.0,0.0,13.4270330380404,3.6642916147654514,0.0,-3.8842485100477466,2.3088274999500045,0.008851392588487321,3.1598861414602832e-06,0.9911454474262567,3,0.9911454474262567
33,0.07858328521251678,1.8722827434539795,0.8132141828536987,2.0435855388641357,3.4542724691911864,0.0,6.043523691795904,2.0,0.0,4.0,3.6611141177041753,0.0,13.40375658285282,0.47700254362824523,0.0,-4.856601264898637,0.7260645761218277,0.2739220175876281,1.3406217937825313e-05,1,0.7260645761218277
34,0.07826109230518341,1.8506518602371216,0.8205673694610596,2.0435855388641357,5.107386326844456,0.0,14.63124157459599,2.0,0.0,4.0,3.6066310848074776,0.0,13.007787781899562,2.1479025449674967,0.0,3.9574753718949545,0.0241665097083518,0.0002998554357082322,0.9755336347583867,3,0.9755336347583867
35,0.07904263585805893,1.7881791591644287,0.7956320643424988,2.0435855388641357,6.49370546973298,12.435152144081387,0.0,2.0,4.0,0.0,3.4537871116251835,11.928645412428228,0.0,3.7457617003111188,2.9443393697814386,0.0,0.8369000031481274,0.1627034970108718,0.0003964997573106623,2,0.1627034970108718
36,0.07880587875843048,1.8548061847686768,0.8054792284965515,2.0435855388641357,0.0,3.337040968306284,1.665904714281261,0.0,2.0,4.0,0.0,3.6170315566092937,13.082917281507449,0.0,0.4235971806409493,-8.872113404111559,0.2961587764860041,0.7038412194866219,3.956989954426238e-09,2,0.7038412194866219
37,0.07749605178833008,1.8626079559326172,0.8288305401802063,2.0435855388641357,7.168790016986804,8.140782104746222,10.024132657069458,2.0,2.0,2.0,3.6366446356843465,3.6366446356843465,3.6366446356843465,4.154627879149098,5.126619966908516,7.009970519231752,0.002853877623925837,0.020801552300996416,0.9763445699774433,3,0.9763445699774433
38,0.07821837812662125,1.8556956052780151,0.8254376649856567,2.0435855388641357,15.867463497884561,0.0,0.8053391273020019,4.0,0.0,2.0,13.099058449654622,0.0,3.6192621416049184,5.055007277691013,0.0,-2.182136163835349,0.99996699550025,3.262692218246709e-05,3.774775709089813e-07,1,0.99996699550025
39,0.0783635601401329,1.8582829236984253,0.8194793462753296,2.0435855388641357,4.482210554437608,0.0,13.58647601512487,2.0,0.0,4.0,3.625758722789202,0.0,13.146126315881986,1.5109761665342387,0.0,2.8134970157329935,0.06507099458386022,0.0029673516501342685,0.9319616536728095,3,0.9319616536728095
40,0.0779457837343216,1.8630174398422241,0.8269426226615906,2.0435855388641357,7.3055681237469745,0.0,8.911121755520362,2.0,0.0,4.0,3.637676980549593,0.0,13.232693814820403,4.297417981055599,0.0,-2.031556772585029,0.999844160004161,0.00015342524808981074,2.4146477649590634e-06,1,0.999844160004161
41,0.07748674601316452,1.8823789358139038,0.8437650799751282,2.0435855388641357,2.4194910891961943,1.782195158302784,0.0,4.0,2.0,0.0,13.592678527401732,3.6868249927819647,0.0,-9.049536395553137,-1.3286190265861917,0.0,8.720422164118737e-09,0.06208548179500823,0.9379145093907783,3,0.9379145093907783
42,0.07837921380996704,1.872814416885376,0.8346074819564819,2.0435855388641357,0.0,11.861735183589968,19.221847252019938,0.0,2.0,4.0,0.0,3.6624635891915993,13.413639542154211,0.0,8.805015669657468,8.026723329870714,1.2730000171255175e-08,0.8306874076777996,0.1693125795091315,2,0.8306874076777996
43,0.07809417694807053,1.8614503145217896,0.8265612125396729,2.0435855388641357,8.980984403483884,4.6405818551648865,4.545380506000711,2.0,2.0,2.0,3.633727704731073,3.633727704731073,3.633727704731073,5.977486025822365,1.6370834775033685,1.5418821283391932,0.9997438237047407,0.00014050884889596827,0.00011566734638909373,1,0.9997438237047407
44,0.07822486758232117,1.8523807525634766,0.8230045437812805,2.0435855388641357,0.0,2.8101156871810993,5.316643353147418,0.0,4.0,2.0,0.0,13.039001636191607,3.610955778764344,0.0,-7.9210419057761445,2.3448103398310907,0.008229059010417405,7.678626048396036e-10,0.9917709401225429,3,0.9917709401225429
45,0.07876025140285492,1.7921323776245117,0.7955080270767212,2.0435855388641357,7.534850394228242,0.0,13.461979434050019,2.0,0.0,4.0,3.463264026830811,0.0,11.994197719540363,4.779796060998283,0.0,3.9204988698103556,0.8526722902554268,4.882333909882077e-05,0.1472788863202072,3,0.1472788863202072
46,0.07796750217676163,1.856695294380188,0.8247854709625244,2.0435855388641357,0.0,8.608196320683732,9.278918660594709,0.0,4.0,2.0,0.0,13.117224539830735,3.6217709121134005,0.0,-2.210699899121744,6.291734633128886,2.605983149923643e-06,2.844040789617103e-08,0.9999973654764426,3,0.9999973654764426
47,0.07831116020679474,1.8601229190826416,0.8191447854042053,2.0435855388641357,4.33353760635433,0.0,4.088085144162293,2.0,0.0,4.0,3.6303859206594966,0.0,13.1797019329227,1.3597259104412585,0.0,-6.7079989673730624,0.9415147314941797,0.05848520331231253,6.509935627633318e-08,1,0.9415147314941797
48,0.07752364873886108,1.8693464994430542,0.8318253755569458,2.0435855388641357,5.532412858806985,11.088260121328755,8.292609372096692,2.0,2.0,2.0,3.6536704153783788,3.6536704153783788,3.6536704153783788,2.4931970933735634,8.049044355895333,5.25339360666327,1.1685548899419646e-05,0.9966969724921404,0.0032913418592905707,2,0.9966969724921404
49,0.07761683315038681,1.8591727018356323,0.829716145992279,2.0435855388641357,4.064097148469245,10.820685966048849,8.235932994030351,2.0,2.0,2.0,3.6279955890748186,3.6279955890748186,3.6279955890748186,1.0538906306250988,7.810479448204703,5.225726476186205,1.0027776491039691e-06,0.9949432687883805,0.005055728334476122,2,0.9949432687883805
50,0.07730059325695038,1.8635655641555786,0.8345383405685425,2.0435855388641357,9.476578585713739,11.271659637626339,5.201903167860849,2.0,2.0,2.0,3.6390593087343452,3.6390593087343452,3.6390593087343452,6.439644068972071,8.234725120884672,2.1649686511191817,0.02488219551302743,0.9751138045952212,3.99979423997439e-06,2,0.9751138045952212
